mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9712296659074153,1.0806605141915298,0,0,7,1.0523638192843665,0,7,0.948852041127445,0,7,7,7,0,0,,0,0,,2,2,0.03909974050279616,16.08563248025298,48.23825555257521,2.998841084538851,1.9988410845388507,321526230723.2223,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.951478278417756,1.0493465092912582,0,0,11,1.0303377773903892,0,16,0.9722211640358648,0,9,11,16,0,0,,0,0,,0,0,,18.402277236942595,39.37817978145742,2.1398536319410337,1.1398536319410335,94.30686974667141,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9931341685406707,1.0473228419632834,0,0,12,1.0359598829984604,0,15,1.1047807161962389,0,9,12,15,0,0,,0,0,,1,1,0.02011808781982492,26.443286065049442,43.24595578966879,1.6354229078521272,0.6354229078521272,22.17937666807971,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.014104247860527,1.0403779905615789,0,0,13,1.053924848444421,0,5,1.1691751324237136,0,10,13,5,0,0,,0,0,,0,0,,229.21240486467428,252.9727937758596,1.1036610078988234,0.10366100789882343,62161.422571288225,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9819112947460413,1.0326602186843536,0,0,10,1.0463483139454324,0,17,1.0003952753707201,0,9,10,17,0,0,,0,0,,1,1,0.06302108603063014,19.714501619368015,39.764197358780336,2.017002414086644,1.0170024140866438,2.0785100819457365,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9896387793550959,1.0411195496242653,0,0,14,1.0359740276500784,0,12,1.0871348444933455,0,10,14,12,0,0,,0,0,,0,0,,357.4391939400094,375.55318267589297,1.0506771194737077,0.050677119473707594,4.73453876550508,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9857188262419012,1.0390466280379413,0,0,7,1.0376706955866237,0,13,1.0348512345565326,0,8,7,13,0,0,,0,0,,0,0,,348.72882339997835,363.53289161096643,1.0424515188238639,0.04245151882386386,5.086204581922222,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.007332324771268,1.0499009866444422,0,0,13,1.0576095285040272,0,14,1.0910258771100236,0,9,13,14,0,0,,0,0,,0,0,,17.805915513717533,42.747385527633945,2.400740669284975,1.4007406692849746,20.14391003936556,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9760582621549007,1.0396978633612073,0,0,11,1.0338491279002944,0,16,1.0175864662734617,0,9,11,16,0,0,,2,2,0.23090417619975803,2,2,0.020162628255771205,16.437972028235137,65.7637631893173,4.000722417361239,3.0007224173612386,35.494998048546094,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9732958079824272,1.0158035859562755,0,0,11,1.029806696742921,0,25,0.9912693546783181,0,9,11,25,0,0,,0,0,,0,0,,13.89201933462604,28.61773606713307,2.0600126862624637,1.0600126862624635,8.305615911168976,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9788539210103866,1.046548600944581,0,0,8,1.026982797502137,0,20,0.9932983557057256,0,8,8,20,0,0,,0,0,,0,0,,5.806136500054651,14.869910554359878,2.5610680276324733,1.5610680276324735,4.233605202740282,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.0064229106440883,1.0338501447115154,0,0,16,1.0541862211368065,0,10,1.218241691399992,0,10,16,10,0,0,,0,0,,0,0,,42.459963402098445,57.513924076613556,1.354544833964014,0.35454483396401415,150539606745.1511,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,1.0071402819918518,1.0459546135058102,0,0,11,1.0488513775959691,0,9,1.2154424338744487,0,8,11,9,0,0,,0,0,,0,0,,12.918572347272223,19.85767159528293,1.537141338955764,0.5371413389557639,10.531748638164828,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9704807484644121,1.0366715136158262,0,0,14,1.0458680489848764,0,13,1.0203750598371935,0,9,14,13,0,0,,0,0,,0,0,,52.777157138860574,37.11347000994954,0.7032108590521705,-0.2967891409478295,-0.00043111285522555535,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9791091046980804,1.0667227449040806,0,0,11,1.0526737816989695,0,16,1.042777107989504,0,9,11,16,0,0,,0,0,,0,0,,22.02674866625961,40.44741373259793,1.8362861603153868,0.8362861603153869,4.0607299176434,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.954504257463572,1.0217204443473666,0,0,8,1.0235600820026836,0,13,0.9619882430841332,0,7,8,13,0,0,,0,0,,0,0,,8.236810626071831,30.805060723314856,3.7399258185939277,2.7399258185939277,1701.3028624007034,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.95534195928166,1.0344153948858665,0,0,9,1.0976269416064306,0,19,1.108080517606435,0,8,9,19,0,0,,0,0,,0,0,,10.682806183404645,46.33965956058482,4.337779677457016,3.337779677457016,9.909219012246464,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,5,0.9665596775170121,1.0434892483757936,0,0,4,1.0215447213581617,0,1,1.3650287631572366,0,5,4,1,0,0,,0,0,,0,0,,50.79734070944772,69.3332707326645,1.3648996141203376,0.36489961412033756,185359300232.16785,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,0,,18.604818308162454,3.0359270298345424,0.16317961183757415,-0.8368203881624258,-0.36029610196081635,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,14,0.9281301713591966,1.0585824380177606,0,0,16,1.0434476025511792,0,75,1.028896864286045,0,14,16,75,0,0,,0,0,,2,2,0.02363796279348429,17.79992044733276,91.14604691717136,5.120587318738787,4.120587318738786,4.180600746335108,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,,False,False,True,True,11,0.9462506796901018,1.0361381446133076,0,0,12,1.057307535557632,0,13,1.1857631876832864,0,11,12,13,0,0,,0,0,,0,0,,,926.9095887063756,,,,,,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9711447485471203,1.0425083650322293,0,0,13,1.0305108504292229,0,13,1.0064646710176448,0,10,13,13,0,0,,0,0,,0,0,,296.8147956662782,321.7242772381609,1.083922641106778,0.0839226411067779,249094815718.82678,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.945085636954476,1.0444576970699606,0,0,13,1.0493101263657147,0,12,1.0445701226412278,0,11,13,12,0,0,,0,0,,0,0,,462.23873832218015,498.40155707938516,1.0782340720478505,0.0782340720478506,361628187572.05,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9539046283129047,1.0908754504265297,0,0,10,1.0621043657370177,0,17,0.9432920926467876,0,9,10,17,1,1,0.012576701941877063,0,0,,0,0,,39.35243651026809,86.71367183807,2.2035146874690748,1.2035146874690748,70.42304206410344,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,0.0,False,False,True,True,3,0.9464180446710064,1.1943890649470692,0,0,2,1.0558085354792974,0,1,1.0874897550239477,0,3,2,1,0,0,,0,0,,0,0,,1.0175309082680331e-10,57.69185319370768,566978877250.093,566978877249.093,576918531936.0593,0.0,0.0,True
True,True,True,True,True,True,True,True,False,True,1.0,False,False,True,True,9,0.9555687465482395,1.037493438660053,0,0,12,1.0413854987104314,0,15,1.0244810108462652,0,9,12,15,0,0,,4,0,0.020170818289638397,1,1,0.01064623708012048,14.553257769755644,26.421620096162766,1.815512410635079,0.8155124106350792,69.75762893199241,1.0,1.0,
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,5,0.964496753206184,0.9779248050583986,0,0,4,1.016865510730811,0,1,1.284016233143889,0,5,4,1,0,0,,0,0,,0,0,,271.0650448133679,280.95401652291207,1.0364819142075397,0.03648191420753971,98889717095.44194,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.9730202564620176,1.0391592633970739,0,0,13,1.0431239008856603,0,12,1.037700132422261,0,11,13,12,0,0,,0,0,,0,0,,428.277328652099,461.63575108462885,1.0778897695507663,0.0778897695507664,333584224325.29834,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,1.0181298962654128,1.0568977911999737,0,0,15,1.0775385818411334,0,10,1.3361634106857454,0,11,15,10,0,0,,0,0,,0,0,,156.64326389314564,178.6746032523598,1.1406465800804741,0.1406465800804741,220313393592.14142,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,5,1.0032509247117243,1.0429577024886005,0,0,4,1.0238452945448944,0,6,1.2583542040087639,0,5,4,6,0,0,,0,0,,1,1,0.021619340515509594,3.281358859159803,8.111695336632089,2.4720537084776826,1.4720537084776826,4.155128860740316,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9500100636100102,1.0937206716450998,0,0,10,1.027501764957708,0,17,0.9833702623871265,0,9,10,17,0,0,,0,0,,1,1,0.004687904698753776,25.09566466882426,48.77300165639795,1.9434831593437523,0.9434831593437523,760.6581326306989,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9645996098981064,1.094600467261201,0,0,10,1.0391322447726299,0,10,0.9844733523284953,0,8,10,10,1,1,0.014280380451592842,0,0,,0,0,,37.68466902534854,90.2764761519162,2.3955756674204,1.3955756674203998,508.0161920051466,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0038632529647704,1.0319593543647547,0,0,11,1.0430029591435102,0,8,1.1548169656088216,0,9,11,8,0,0,,0,0,,1,1,0.011139444235371283,356.0318629416485,376.37184371924144,1.0571296642090895,0.05712966420908942,69.85532937869407,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9970211770567098,1.0416514854175662,0,0,11,1.0383510010826407,0,8,1.1253580381700121,0,9,11,8,0,0,,0,0,,0,0,,347.3441683292637,364.85668363194594,1.0504183369103848,0.05041833691038481,175125153026.8223,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.9965673666679686,1.0330335684203944,0,0,7,1.027025466266039,0,2,1.0410535371930087,0,6,7,2,0,0,,0,0,,1,1,0.02341455888527208,18.860615270535803,34.941345838751666,1.8526090128850305,0.8526090128850304,52.967008178945555,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9081200805180982,1.0946800250525945,0,0,13,1.042890055399124,0,13,1.0033276707250103,0,10,13,13,0,0,,0,0,,1,1,0.014496240153676036,296.115522644514,340.5288887644873,1.1499866191523214,0.1499866191523214,444133661199.73315,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,0.9740489507086332,1.0156734244896255,0,0,4,1.032313903284353,0,2,1.0921177570919238,0,4,4,2,0,0,,0,0,,0,0,,1.7619285254785917,9.026638292729627,5.123158040861917,4.123158040861917,14.64602133362309,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9558835014981609,1.084328331695409,0,0,14,1.0717117975536707,0,12,0.9959911847871644,0,10,14,12,1,1,0.00861596638991424,0,0,,0,0,,70.01743006264556,113.67252641511347,1.6234889842916127,0.6234889842916127,220.70661373711965,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.936223326762711,1.0348684255179683,0,0,12,1.0246951931322923,0,15,0.9832624560574553,0,9,12,15,1,1,0.003756644489145376,0,0,,0,0,,37.429479806337895,71.2795524164411,1.9043693042287864,0.9043693042287864,338500726101.0321,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,3,0.9601490511967423,1.0423022513930096,0,0,2,1.0564256038278113,0,1,1.1176186480190728,0,3,2,1,0,0,,0,0,,0,0,,-0.007424474143165625,13.124031613031761,-1767.6715360525152,-1768.6715360525152,17022.787852849222,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9803641197684619,1.0255069146909075,0,0,7,1.0218075025106454,0,21,1.0092975362054428,0,8,7,21,0,0,,0,0,,0,0,,2.418996177946366,8.536744864402412,3.52904437891662,2.52904437891662,29.38574062388401,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9451969629982887,1.054278624105456,0,0,8,1.0251741982617828,0,20,0.9833427883010801,0,8,8,20,0,0,,0,0,,0,0,,4.419948138947696,28.636995433690156,6.479034263173068,5.479034263173068,120.02537823206318,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0171174547171256,1.052317104994878,0,0,10,1.0843677481958258,0,9,1.1538582659786836,0,9,10,9,0,0,,0,0,,0,0,,436.35551894681424,468.9580811155341,1.0747155948603773,0.07471559486037735,51.67050408764554,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.979610549940289,1.0653720589229165,0,0,14,1.0457603779390212,0,13,1.045720943602167,0,9,14,13,0,0,,0,0,,0,0,,21.267696868864665,43.929502808484465,2.0655505426540133,1.065550542654013,938.7550369589225,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9984838692823953,1.0408040472894016,0,0,13,1.0621485246872382,0,13,1.0831405112192416,0,10,13,13,0,0,,0,0,,0,0,,28.293273520492225,44.05083620594177,1.5569367105590195,0.5569367105590194,27.90405944044229,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,13,1.0015109249010166,1.0471507405650886,0,0,18,1.068193299811138,0,24,1.042588165012629,0,13,18,24,0,0,,0,0,,0,0,,98.83811102274733,125.6126902963877,1.2708932718015855,0.27089327180158546,17.45666626415782,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0059985036824592,1.0300954427558318,0,0,10,1.017743222488432,0,9,1.1847693729823623,0,9,10,9,0,0,,0,0,,0,0,,293.71151243937334,299.15023598676436,1.0185172297204852,0.018517229720485195,0.7705156507532468,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.967829529638519,1.0512753065779923,0,0,9,1.0478675355639842,0,18,1.0307171872549612,0,9,9,18,0,0,,0,0,,0,0,,45.320701179780166,78.95156763046482,1.742064124676188,0.7420641246761882,8.221289085587363,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9941850719433044,1.0033915480245623,0,0,8,1.0492561308587285,0,6,1.0144707804743254,0,7,8,6,0,0,,1,1,0.31321842760312674,0,0,,13.215386591541257,25.955667245981378,1.9640490322541728,0.9640490322541728,25.61243708343841,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9811450725717503,1.042926008410672,0,0,13,1.0424862477062675,0,22,0.9958993592956247,0,10,13,22,1,1,0.0053685990179816135,0,0,,0,0,,13.151358121108133,33.39084038366958,2.5389651833810807,1.538965183381081,202394822625.61444,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9835281053354803,1.0230790609279947,0,0,7,1.0298358782197536,0,14,1.0223204735948546,0,7,7,14,0,0,,0,0,,0,0,,9.108335895947969,15.972814937135064,1.7536479901055144,0.7536479901055143,2.813264074838596,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9684601962129058,1.0590441711688063,0,0,13,1.0664058267257188,0,13,1.0882700852280034,0,10,13,13,0,0,,0,0,,0,0,,70.63056541299433,101.14143545093094,1.4319782782359456,0.4319782782359455,305108700379.3661,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.9719284013026559,1.0440771774281035,0,0,12,1.069369486240536,0,13,1.04299977661431,0,11,12,13,0,0,,0,0,,0,0,,770.9770310799648,818.869162947513,1.0621187531364742,0.06211875313647427,2211.38355509809,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,,False,False,True,True,11,1.0144614530567453,1.0523740695230885,0,0,13,1.0907958680930696,0,12,1.3580792981975018,0,11,13,12,0,0,,0,0,,0,0,,,440.94212168420756,,,,,,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,0.9805539725367284,1.014106046134921,0,0,4,1.0693619974306796,0,2,1.1448450293931063,0,4,4,2,0,0,,0,0,,0,0,,2.829943900843976,5.2880404203528,1.868602560911453,0.8686025609114529,0.5294216035467331,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,1.005704780331361,1.011100918774244,0,0,12,1.0509659577284403,0,13,1.0713175920678872,0,11,12,13,0,0,,0,0,,0,0,,681.8199800869141,704.460640602037,1.0332062145087575,0.03320621450875747,226406605151.22818,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.99224500455813,1.0339725993730335,0,0,12,1.0186940929910961,0,7,1.0916375875298667,0,9,12,7,0,0,,0,0,,0,0,,350.8175551699149,374.41126731816684,1.067253510551445,0.0672535105514448,235937121482.51938,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9961362845018443,1.0297991094546173,0,0,9,1.0271965685258226,0,10,1.2764202936357545,0,9,9,10,0,0,,0,0,,1,1,0.016902143458270107,361.65785558616415,378.2667301265076,1.0459242742382142,0.04592427423821411,0.5342790876749528,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9684983213629033,1.0293922883427358,0,0,14,1.0462012582853824,0,12,1.0172521034601871,0,10,14,12,0,0,,0,0,,1,1,0.00754171700532944,28.680848603679657,40.961804376979124,1.428193598557745,0.42819359855774497,122809557732.99467,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9842027342015194,1.0462212155959834,0,0,10,1.0558323667612501,0,17,1.0696951020314078,0,9,10,17,0,0,,0,0,,0,0,,46.07333822442363,67.05246325032776,1.4553419794266835,0.4553419794266834,34.736947748772984,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9821234326577007,1.0283941446500706,0,0,10,1.0501178832209415,0,10,0.9958845037444294,0,8,10,10,0,0,,0,0,,1,1,0.013158816053774086,27.44622922762643,41.95777341530121,1.5287263349483347,0.5287263349483347,5826.492803986173,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.0180551280236587,1.0396167040545878,0,0,13,1.0520961432010496,0,13,1.389523633014351,0,10,13,13,0,0,,0,0,,0,0,,55.157753041709476,82.47112859260035,1.4951865158509432,0.4951865158509431,273133755508.90875,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9516843924195827,1.0355762581896115,0,0,7,1.0160156900654778,0,14,0.9975816776592026,0,7,7,14,0,0,,0,0,,0,0,,3.9777571237409854,17.03354426955966,4.2821981683839,3.2821981683839003,17.16831788725489,1.0,1.0,True
