mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,3,0.9950612167732885,1.074449218437449,0,0,3,1.0367268921822048,0,0,,0,3,3,0,0,0,,0,0,,0,0,,-1.467042868385905,4.597411281061872,-3.1337947786898104,-4.13379477868981,130.62171478979448,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0090608632924059,1.0320419317884952,0,0,14,1.0387460352569085,0,13,1.1222028902751964,0,9,14,13,0,0,,0,0,,0,0,,22.449427090527458,42.90506989767772,1.9111877432178004,0.9111877432178003,14.054171730870864,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.013113175197673,1.0420943673168774,0,0,11,1.052567133563207,0,8,1.1023799484075851,0,9,11,8,0,0,,0,0,,0,0,,409.1679719539534,429.21695689836866,1.0489993995587503,0.04899939955875026,200489849444.1528,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9601915355927089,1.058095807920004,0,0,12,1.0353340115758272,0,15,0.9881726693127844,0,9,12,15,1,1,0.006901280475037879,0,0,,0,0,,14.275526309919423,41.06554603930057,2.876639722261306,1.8766397222613058,221.4209331366139,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9721300748493175,1.0422255476015876,0,0,11,1.0533575373401136,0,25,0.9599806939925513,0,9,11,25,0,0,,0,0,,1,1,0.004184333542230943,15.74695968287633,41.211202520693114,2.617089479533455,1.617089479533455,74.94502404487606,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9952923065374624,1.0529995834166868,0,0,7,1.0321315303878278,0,14,0.9624684552302506,0,7,7,14,0,0,,0,0,,0,0,,8.708178186781025,58.16472005782598,6.679321301224608,5.679321301224608,9.701637926546598,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.93085647413677,1.0255862292285058,0,0,13,1.0373529188543973,0,13,1.0001467436187355,0,10,13,13,0,0,,0,0,,1,1,0.0061472612317089075,86.67736874656649,104.01727234082527,1.2000511072845144,0.2000511072845144,173399035942.58786,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9654758698547521,1.021454386981672,0,0,11,1.033495565789949,0,16,1.0181965732893967,0,9,11,16,0,0,,4,4,0.225981018595356,1,1,0.01992166335152687,12.97079000420582,27.346236787083008,2.1082938493504173,1.1082938493504175,859.7318350921355,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9659726752966536,1.019401231571032,0,0,13,1.0345371206814797,0,13,1.0203018812496172,0,10,13,13,0,0,,0,0,,1,1,0.005022572802656255,304.27667190691403,315.7203162521839,1.0376093384798517,0.03760933847985162,114436443452.69888,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.0203004726495097,1.032547740212564,0,0,12,1.0610665478709334,0,23,1.1678466714306959,0,10,12,23,0,0,,0,0,,0,0,,89.60109988409978,107.00932999463565,1.1942858975286426,0.19428589752864245,5.472418486980721,True,True,True
