mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9370043712166616,1.0290011795033027,0,0,7,1.0483370119308069,0,14,1.0825678741286309,0,7,7,14,0,0,,0,0,,0,0,,5.124415235417383,35.899233802578564,7.00552788042255,6.00552788042255,33.91689029022878,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9937445754827674,1.019047613249454,0,0,8,1.0374178745565337,0,13,1.057089689686294,0,7,8,13,0,0,,0,0,,0,0,,10.067766803869892,15.589863692092939,1.5484927289039352,0.5484927289039352,0.723308096064459,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9975884551412576,1.0160169875887293,0,0,9,1.0062079609700938,0,12,1.0122689123242505,0,7,9,12,0,0,,0,0,,0,0,,5.646480379598413,7.991372360462986,1.415283826954756,0.4152838269547562,25.30764561875996,True,True,True
True,True,True,True,True,True,True,True,True,False,,False,False,True,True,10,1.0288802428334973,1.0685131585378431,0,0,14,1.0834122348357378,0,4,1.1093697343087108,0,10,14,4,0,0,,0,0,,1,0,0.4886644255529295,,223.5850920596161,,,,,,
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9718460991178713,1.010601426376157,0,0,11,1.021592197710781,0,16,0.9892274578498137,0,9,11,16,1,1,0.006047229649031627,0,0,,0,0,,16.89008430246478,25.33207882747248,1.4998195612188718,0.49981956121887183,278.5050819513999,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0057443314899872,1.0324377250310603,0,0,11,1.039441349300271,0,8,1.3003604224654295,0,9,11,8,0,0,,0,0,,0,0,,137.30510140234412,145.26387237218964,1.057964131620456,0.05796413162045589,0.8770712302340985,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.002362500825302,1.0147763297031367,0,0,11,1.0133754389559495,0,16,1.0149570514011548,0,9,11,16,0,0,,0,0,,0,0,,345.397917548638,351.4467870211887,1.0175127560567845,0.01751275605678454,5.581272712150657,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9706586463291009,1.0238664652316825,0,0,13,1.0225889035369733,0,22,1.0168519670538632,0,10,13,22,1,1,0.003482754396095908,0,0,,0,0,,16.788267470345446,31.105696754985384,1.852823515584919,0.8528235155849191,143174292846.39938,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.002822055984613,1.006761010047076,0,0,11,1.0275316769545155,0,8,1.089258058258689,0,9,11,8,0,0,,0,0,,0,0,,351.5794415454368,356.8774956823615,1.015069294477618,0.015069294477618057,0.4814647384394127,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,1.0014015555141644,1.0478398290271285,0,0,12,1.0683611949675895,0,43,1.1180758822588304,0,11,12,43,0,0,,0,0,,0,0,,10.908206731773266,47.980102528047965,4.3985325643207895,3.39853256432079,4.950444301889896,True,True,True
