mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,1.0042712695258693,1.0204312907261928,0,0,6,1.0220118889537635,0,3,1.1030660001966217,0,6,6,3,0,0,,1,1,0.2988163169563494,0,0,,18.234231309571708,25.276202671887987,1.3861951317146959,0.38619513171469594,0.605094237127458,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0028997103162776,1.0339452294767681,0,0,10,1.0510856309908836,0,17,1.2067997483311095,0,9,10,17,0,0,,0,0,,0,0,,83.6071650308765,98.82751405256525,1.1820459887148165,0.18204598871481653,2.3189504798766025,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,1.0116136220606518,1.0933088770433292,0,0,9,1.0476895109090507,0,11,1.1193586573568788,0,8,9,11,0,0,,0,0,,0,0,,19.515749651140357,41.40746395298569,2.1217460099241507,1.1217460099241505,2.6094249298455647,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9907350379327168,1.0565638395692716,0,0,10,1.0407693568032608,0,10,1.0328674188496891,0,8,10,10,0,0,,2,2,0.3390878026483438,1,1,0.022425680729067123,15.764688604201197,53.54533440032171,3.3965361286014994,2.3965361286014994,12.859844733331776,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.892894875199356,1.0343752386172187,0,0,9,1.060774832062088,0,19,1.0298483904389464,0,8,9,19,0,0,,0,0,,0,0,,2.924813653931966,66.93269544370627,22.88443072389431,21.884430723894315,41.962870729265084,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9991160148656634,1.0416831849061692,0,0,13,1.040266209706713,0,13,1.0675657780723968,0,10,13,13,0,0,,0,0,,0,0,,80.97220947694684,96.54562381603913,1.192330361733875,0.1923303617338749,155734143390.9228,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9638599503547484,1.0348059889104848,0,0,12,1.0313807238515544,0,15,1.0159979230886238,0,9,12,15,0,0,,0,0,,0,0,,23.39546938855582,40.55175134773636,1.733316424400219,0.7333164244002192,193.97012802639003,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9758220503699829,1.0247656568281778,0,0,12,1.0107721907688076,0,15,1.0214343452983523,0,9,12,15,1,1,0.001296690312831771,0,0,,0,0,,39.57376126808434,46.9029279221181,1.1852026802401678,0.18520268024016784,104.83050387110767,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9934339665699106,1.0327597705051499,0,0,12,1.0384984909117556,0,15,1.111135019692357,0,9,12,15,0,0,,0,0,,0,0,,11.120113936339033,21.641892496705687,1.946193413179239,0.9461934131792391,21.56254387565025,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,14,1.0100199785634867,1.048054564619546,0,0,16,1.0920336468184835,0,25,1.1670521723456322,0,14,16,25,0,0,,0,0,,0,0,,743.94923650392,779.8570742750995,1.048266516059514,0.04826651605951384,5.030610553082354,1.0,1.0,True
