group,dipole_total
data_0,4.6355586
data_1,4.671601
data_10,5.036135
data_100,5.782747
data_1000,6.4422603
data_10000,2.7504356
data_100000,1.737566
data_100001,1.3480033
data_100002,4.4830456
data_100003,3.4453278
data_100004,2.2342408
data_100005,0.6383552
data_100006,3.406683
data_100007,2.458902
data_100008,2.306406
data_100009,2.487719
data_10001,3.867306
data_100010,2.19691
data_100011,3.6510408
data_100012,2.2634706
data_100013,3.3347762
data_100014,2.2640278
data_100015,2.8238223
data_100016,1.00776
data_100017,3.2481742
data_100018,2.65983
data_100019,4.906925
data_10002,3.6704297
data_100020,3.6196232
data_100021,2.3768222
data_100022,3.179291
data_100023,2.2513452
data_100024,0.5689145
data_100025,2.7730036
data_100026,1.7797171
data_100027,2.5382574
data_100028,2.0842717
data_100029,2.1605425
data_10003,3.1719518
data_100030,2.707972
data_100031,3.0927782
data_100032,4.052234
data_100033,3.1191947
data_100034,5.4440536
data_100035,4.010979
data_100036,2.6581223
data_100037,3.3232498
data_100038,4.043476
data_100039,2.5466557
data_10004,2.890846
data_100040,2.0497952
data_100041,3.3506846
data_100042,3.2210276
data_100043,3.0915744
data_100044,2.4126613
data_100045,3.3739352
data_100046,1.4736257
data_100047,2.208224
data_100048,2.64521
data_100049,3.3715463
data_10005,4.3740935
data_100050,3.781628
data_100051,3.4161289
data_100052,1.8986386
data_100053,1.4386686
data_100054,1.8577032
data_100055,3.5958147
data_100056,2.3322308
data_100057,1.9599448
data_100058,1.2920848
data_100059,2.6951003
data_10006,1.6726296
data_100060,2.0780578
data_100061,4.428378
data_100062,3.365005
data_100063,3.0463836
data_100064,2.6682267
data_100065,4.2846117
data_100066,3.1926053
data_100067,3.6929588
data_100068,3.3783462
data_100069,3.029302
data_10007,3.728493
data_100070,3.0227032
data_100071,2.9366972
data_100072,2.8419764
data_100073,3.1619124
data_100074,2.4267893
data_100075,2.2365692
data_100076,3.328055
data_100077,2.7345808
data_100078,2.450588
data_100079,2.7321002
data_10008,3.5260072
data_100080,3.190273
data_100081,3.7580876
data_100082,3.2951963
data_100083,3.6304455
data_100084,1.3054811
data_100085,4.095663
data_100086,2.52267
data_100087,2.991618
data_100088,1.9852183
data_100089,0.6447417
data_10009,3.2196991
data_100090,1.722409
data_100091,3.876673
data_100092,2.7077062
data_100093,4.0011272
data_100094,2.758126
data_100095,2.9962413
data_100096,0.7297857
data_100097,3.2559328
data_100098,2.635786
data_100099,3.2981882
data_1001,3.4461253
data_10010,4.8941627
data_100100,2.166281
data_100101,2.5095584
data_100102,1.816264
data_100103,1.7446066
data_100104,1.8797582
data_100105,3.9710689
data_100106,1.5816371
data_100107,3.0333507
data_100108,3.3646488
data_100109,3.0877435
data_10011,2.7895238
data_100110,3.4650526
data_100111,3.0362575
data_100112,2.8663213
data_100113,3.9134169
data_100114,3.2944443
data_100115,3.0491233
data_100116,1.7661792
data_100117,2.304323
data_100118,3.9567177
data_100119,1.3264657
data_10012,2.4910252
data_100120,2.7164218
data_100121,2.31612
data_100122,2.6822162
data_100123,2.6143708
data_100124,3.7944024
data_100125,4.394038
data_100126,2.3319445
data_100127,2.463308
data_100128,2.098284
data_100129,1.8552028
data_10013,4.19769
data_100130,2.1939278
data_100131,1.6976048
data_100132,4.688505
data_100133,4.0165977
data_100134,3.3228617
data_100135,2.6559784
data_100136,1.9933089
data_100137,3.037911
data_100138,1.9517719
data_100139,1.5626105
data_10014,2.655024
data_100140,2.9765246
data_100141,3.0940506
data_100142,1.8987447
data_100143,2.3142133
data_100144,2.739611
data_100145,3.055387
data_100146,1.7749476
data_100147,0.49399078
data_100148,1.4974235
data_100149,2.7953508
data_10015,3.9701853
data_100150,2.661278
data_100151,2.1743948
data_100152,2.6215553
data_100153,1.903748
data_100154,1.8521204
data_100155,1.8755618
data_100156,2.301031
data_100157,1.992828
data_100158,2.1996827
data_100159,2.6487648
data_10016,2.84102
data_100160,5.531492
data_100161,3.6270864
data_100162,4.0380793
data_100163,3.2404208
data_100164,0.88251513
data_100165,3.2493997
data_100166,1.0314173
data_100167,1.2797788
